,antecedent,consequent,confidence,lift
0,"[' 539db5b9ffa148f0b5bff4323192d113 ', ' fcea7171c4114f5db79b58d4c00bb63b ']",[' 033891fd1069476595e67deb61703079 '],0.8333333333333334,375.0
1,"[' 539db5b9ffa148f0b5bff4323192d113 ', ' fcea7171c4114f5db79b58d4c00bb63b ']",[' d77752d1d0de420682586e63995a3a52 '],0.8333333333333334,538.0434782608696
2,"[' 539db5b9ffa148f0b5bff4323192d113 ', ' fcea7171c4114f5db79b58d4c00bb63b ']",[' 7349068555464240800c0199e25789e9 '],1.0,371.25
3,[' e2eebdd6926e463590143454ae7f01f1 '],[' f92256888bd54f07959543daf433a880 '],0.2857142857142857,163.18681318681317
4,[' e2eebdd6926e463590143454ae7f01f1 '],[' 213e1a8beed842bd924d8fdea1f227c7 '],0.2857142857142857,106.07142857142856
5,[' e2eebdd6926e463590143454ae7f01f1 '],[' 207729b32998452ea9fd54bfe04dca2c '],0.23809523809523808,130.95238095238093
6,[' e2eebdd6926e463590143454ae7f01f1 '],[' eed11106de4f4f429bc473a8bf8ca01e '],0.30952380952380953,255.35714285714286
7,[' e2eebdd6926e463590143454ae7f01f1 '],[' f8bb2873082a4d0b8d4648a4b1c2a933 '],0.3333333333333333,183.33333333333331
8,[' e2eebdd6926e463590143454ae7f01f1 '],[' 1cdbf14e1d044bae9170972ee9c16ea2 '],0.2619047619047619,57.195378151260506
9,[' e2eebdd6926e463590143454ae7f01f1 '],[' 113047a65d8248aeb9311d03925579c5 '],0.35714285714285715,82.86830357142858
10,[' e2eebdd6926e463590143454ae7f01f1 '],[' fcb234a9bb6247efa80a50d7d46985b1 '],0.5,142.78846153846152
11,[' c0664f54e05a43f6b7a2b35ebd5b8943'],[' 8f0fe57fba554099b8c79d77c5b13325 '],0.3,111.37499999999999
12,[' c0664f54e05a43f6b7a2b35ebd5b8943'],[' 6b601625997141b5ad3e37b9f81003be '],0.5333333333333333,273.10344827586204
13,"[' 5c2afe19071b4ef1919946e6250fde4c ', ' 4a8b52b4ecb34fc9b3e2fbf6c3a646a4 ']",[' 6398f054381f466090ec4fe23137209b '],0.7777777777777778,502.17391304347825
14,"[' 5c2afe19071b4ef1919946e6250fde4c ', ' 4a8b52b4ecb34fc9b3e2fbf6c3a646a4 ']",[' 6b4d59d7ae0b447b96909b07a38c3506 '],0.8888888888888888,412.5
15,"[' 5c2afe19071b4ef1919946e6250fde4c ', ' 4a8b52b4ecb34fc9b3e2fbf6c3a646a4 ']",[' 195f6947e1a94bf68f7d1b93c3f64570'],0.7777777777777778,245.74468085106383
16,"[' 5c2afe19071b4ef1919946e6250fde4c ', ' 4a8b52b4ecb34fc9b3e2fbf6c3a646a4 ']",[' 8857ae7892b4430fa35b63e2938c152e '],0.8888888888888888,440.0
17,"[' 5c2afe19071b4ef1919946e6250fde4c ', ' 4a8b52b4ecb34fc9b3e2fbf6c3a646a4 ']",[' 3f42f542602b4d05a5a1dbeea2e2fd76 '],0.8888888888888888,528.0
